iter,residual_l2,error_l2
263,8.21305,0.0716785
264,8.16364,0.0713255
265,8.11458,0.0709746
266,8.06587,0.0706258
267,8.0175,0.0702791
268,7.96947,0.0699345
269,7.92178,0.0695919
270,7.87442,0.0692514
271,7.82739,0.0689129
272,7.78069,0.0685764
273,7.73432,0.0682419
274,7.68827,0.0679094
275,7.64255,0.0675789
276,7.59714,0.0672503
277,7.55205,0.0669236
278,7.50728,0.0665989
279,7.46281,0.0662761
280,7.41866,0.0659553
281,7.37481,0.0656362
282,7.33126,0.0653191
283,7.28802,0.0650039
284,7.24508,0.0646904
285,7.20243,0.0643789
286,7.16008,0.0640691
287,7.11803,0.0637612
288,7.07626,0.063455
289,7.03478,0.0631506
290,6.99359,0.062848
291,6.95268,0.0625472
292,6.91205,0.0622481
293,6.8717,0.0619508
294,6.83163,0.0616552
295,6.79183,0.0613612
296,6.75231,0.061069
297,6.71305,0.0607785
298,6.67407,0.0604896
299,6.63535,0.0602025
300,6.5969,0.0599169
301,6.55871,0.059633
302,6.52078,0.0593508
303,6.48311,0.0590701
304,6.44569,0.0587911
305,6.40853,0.0585137
306,6.37162,0.0582378
307,6.33497,0.0579635
308,6.29856,0.0576908
309,6.2624,0.0574196
310,6.22648,0.05715
311,6.19081,0.0568819
312,6.15538,0.0566154
313,6.12019,0.0563503
314,6.08524,0.0560867
315,6.05052,0.0558247
316,6.01604,0.0555641
317,5.98179,0.055305
318,5.94777,0.0550473
319,5.91398,0.0547911
320,5.88041,0.0545363
321,5.84708,0.054283
322,5.81396,0.0540311
323,5.78107,0.0537806
324,5.7484,0.0535315
325,5.71594,0.0532838
326,5.68371,0.0530374
327,5.65169,0.0527925
328,5.61988,0.0525489
329,5.58829,0.0523066
330,5.55691,0.0520657
331,5.52573,0.0518262
332,5.49477,0.0515879
333,5.46401,0.051351
334,5.43345,0.0511154
335,5.4031,0.0508811
336,5.37295,0.0506481
337,5.34299,0.0504164
338,5.31324,0.0501859
339,5.28369,0.0499567
340,5.25433,0.0497288
341,5.22516,0.0495021
342,5.19619,0.0492766
343,5.16741,0.0490524
344,5.13881,0.0488294
345,5.11041,0.0486077
346,5.08219,0.0483871
347,5.05416,0.0481678
348,5.02631,0.0479496
349,4.99865,0.0477326
350,4.97117,0.0475168
351,4.94387,0.0473021
352,4.91674,0.0470887
353,4.8898,0.0468763
354,4.86303,0.0466651
355,4.83643,0.0464551
356,4.81001,0.0462462
357,4.78377,0.0460384
358,4.75769,0.0458317
359,4.73178,0.0456261
360,4.70604,0.0454217
361,4.68047,0.0452183
362,4.65507,0.045016
363,4.62983,0.0448148
364,4.60475,0.0446147
365,4.57984,0.0444156
366,4.55508,0.0442176
367,4.53049,0.0440206
368,4.50606,0.0438247
369,4.48178,0.0436298
370,4.45766,0.043436
371,4.4337,0.0432432
372,4.40989,0.0430513
373,4.38624,0.0428606
374,4.36273,0.0426708
375,4.33938,0.042482
376,4.31618,0.0422942
377,4.29313,0.0421074
378,4.27022,0.0419215
379,4.24746,0.0417367
380,4.22485,0.0415528
381,4.20238,0.0413698
382,4.18006,0.0411879
383,4.15787,0.0410068
384,4.13583,0.0408267
385,4.11393,0.0406476
386,4.09217,0.0404693
387,4.07055,0.040292
388,4.04906,0.0401157
389,4.02771,0.0399402
390,4.0065,0.0397656
391,3.98542,0.039592
392,3.96447,0.0394192
393,3.94366,0.0392473
394,3.92298,0.0390763
395,3.90243,0.0389062
396,3.88201,0.038737
397,3.86171,0.0385686
398,3.84155,0.0384011
399,3.82151,0.0382344
400,3.8016,0.0380686
401,3.78181,0.0379036
402,3.76215,0.0377395
403,3.74261,0.0375762
404,3.7232,0.0374137
405,3.7039,0.0372521
406,3.68472,0.0370913
407,3.66567,0.0369313
408,3.64673,0.0367721
409,3.62792,0.0366137
410,3.60921,0.0364561
411,3.59063,0.0362993
412,3.57216,0.0361433
413,3.55381,0.0359881
414,3.53557,0.0358337
415,3.51744,0.03568
416,3.49943,0.0355271
417,3.48152,0.035375
418,3.46373,0.0352236
419,3.44605,0.035073
420,3.42847,0.0349231
421,3.41101,0.034774
422,3.39365,0.0346256
423,3.3764,0.034478
424,3.35925,0.0343311
425,3.34221,0.0341849
426,3.32528,0.0340394
427,3.30845,0.0338947
428,3.29172,0.0337507
429,3.27509,0.0336074
430,3.25857,0.0334648
431,3.24214,0.0333228
432,3.22582,0.0331816
433,3.2096,0.0330411
434,3.19347,0.0329013
435,3.17745,0.0327622
436,3.16152,0.0326237
437,3.14568,0.032486
438,3.12995,0.0323489
439,3.1143,0.0322124
440,3.09876,0.0320766
441,3.0833,0.0319415
442,3.06794,0.0318071
443,3.05268,0.0316733
444,3.0375,0.0315401
445,3.02242,0.0314076
446,3.00742,0.0312758
447,2.99252,0.0311446
448,2.97771,0.031014
449,2.96298,0.030884
450,2.94835,0.0307547
451,2.9338,0.030626
452,2.91933,0.0304979
453,2.90496,0.0303704
454,2.89067,0.0302435
455,2.87646,0.0301173
456,2.86234,0.0299916
457,2.84831,0.0298666
458,2.83435,0.0297421
459,2.82048,0.0296183
460,2.80669,0.029495
461,2.79299,0.0293723
462,2.77936,0.0292502
463,2.76582,0.0291287
464,2.75235,0.0290078
465,2.73897,0.0288874
466,2.72566,0.0287676
467,2.71243,0.0286484
468,2.69928,0.0285297
469,2.68621,0.0284116
470,2.67321,0.028294
471,2.66029,0.0281771
472,2.64744,0.0280606
473,2.63467,0.0279447
474,2.62198,0.0278294
475,2.60936,0.0277146
476,2.59681,0.0276003
477,2.58433,0.0274865
478,2.57193,0.0273733
479,2.5596,0.0272607
480,2.54734,0.0271485
481,2.53515,0.0270369
482,2.52304,0.0269258
483,2.51099,0.0268152
484,2.49901,0.0267051
485,2.4871,0.0265956
486,2.47526,0.0264865
487,2.46349,0.0263779
488,2.45179,0.0262699
489,2.44015,0.0261624
490,2.42858,0.0260553
491,2.41708,0.0259487
492,2.40564,0.0258427
493,2.39426,0.0257371
494,2.38296,0.025632
495,2.37171,0.0255274
496,2.36053,0.0254233
497,2.34942,0.0253196
498,2.33837,0.0252165
499,2.32738,0.0251138
500,2.31645,0.0250115
501,2.30558,0.0249098
502,2.29478,0.0248085
503,2.28404,0.0247076
504,2.27335,0.0246072
505,2.26273,0.0245073
506,2.25217,0.0244079
507,2.24167,0.0243088
508,2.23122,0.0242103
509,2.22084,0.0241122
510,2.21051,0.0240145
511,2.20024,0.0239173
512,2.19003,0.0238205
513,2.17988,0.0237241
514,2.16978,0.0236282
515,2.15974,0.0235327
516,2.14975,0.0234377
517,2.13982,0.023343
518,2.12995,0.0232488
519,2.12013,0.0231551
520,2.11036,0.0230617
521,2.10065,0.0229688
522,2.09099,0.0228762
523,2.08139,0.0227841
524,2.07184,0.0226924
525,2.06234,0.0226012
526,2.05289,0.0225103
527,2.0435,0.0224198
528,2.03416,0.0223297
529,2.02486,0.0222401
530,2.01562,0.0221508
531,2.00643,0.0220619
532,1.99729,0.0219734
533,1.9882,0.0218854
534,1.97916,0.0217977
535,1.97017,0.0217104
536,1.96123,0.0216234
537,1.95233,0.0215369
538,1.94349,0.0214508
539,1.93469,0.021365
540,1.92594,0.0212796
541,1.91724,0.0211946
542,1.90858,0.0211099
543,1.89997,0.0210257
544,1.89141,0.0209418
545,1.8829,0.0208582
546,1.87443,0.0207751
547,1.866,0.0206923
548,1.85762,0.0206098
549,1.84929,0.0205277
550,1.841,0.020446
551,1.83275,0.0203647
552,1.82455,0.0202837
553,1.81639,0.020203
554,1.80827,0.0201227
555,1.8002,0.0200427
556,1.79217,0.0199631
557,1.78419,0.0198839
558,1.77624,0.019805
559,1.76834,0.0197264
560,1.76048,0.0196482
561,1.75266,0.0195703
562,1.74489,0.0194927
563,1.73715,0.0194155
564,1.72946,0.0193386
565,1.7218,0.0192621
566,1.71419,0.0191859
567,1.70661,0.01911
568,1.69908,0.0190344
569,1.69158,0.0189592
570,1.68412,0.0188842
571,1.67671,0.0188097
572,1.66933,0.0187354
573,1.66199,0.0186614
574,1.65468,0.0185878
